id,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,mileage,engine,power,new_price,Brand,Model
1668,Mumbai,2014,52000,Diesel,Automatic,First,5,24.5,13,2143,204,,mercedes-benz,e-class
1669,Pune,2013,20000,Petrol,Manual,First,5,6,13.24,1598,102.57,,renault,duster
1670,Hyderabad,2017,31829,Petrol,Manual,First,5,3.65,21.1,814,55.2,,hyundai,eon
1671,Coimbatore,2016,18094,Petrol,Manual,Second,5,6.26,18.6,1197,85.8,,maruti,swift
1672,Jaipur,2011,80000,Diesel,Manual,Second,5,2.1,19.5,1461,,,nissan,micra
1673,Mumbai,2015,11964,Diesel,Automatic,First,5,32.95,13.22,2967,241.4,,audi,q5
1674,Coimbatore,2018,22684,Petrol,Manual,First,5,7.8,18.6,1197,81.83,,hyundai,i20
1675,Bangalore,2014,43521,Petrol,Manual,First,5,4.25,19.4,1198,86.8,,honda,brio
1676,Kochi,2014,49386,Petrol,Manual,First,5,4.86,17.5,1298,85.8,,maruti,swift
1677,Delhi,2017,12248,Petrol,Manual,First,5,4.9,18.9,1197,81.86,6.54,hyundai,grand
1678,Coimbatore,2014,67771,Diesel,Manual,First,8,7.06,11.68,2498,112,,mahindra,xylo
1679,Delhi,2015,60007,Petrol,Automatic,First,4,4.5,17.21,1798,189,,volkswagen,polo
1680,Coimbatore,2011,48624,Petrol,Manual,First,5,3.22,24.07,998,67.1,4.7,maruti,alto
1681,Kolkata,2014,30000,Diesel,Manual,First,5,3.25,22.07,1199,73.9,,volkswagen,polo
1682,Delhi,2016,81605,Petrol,Manual,First,5,4.53,18.9,1197,82,,hyundai,grand
1683,Coimbatore,2017,32642,Diesel,Automatic,First,5,34.78,14.84,2143,170,,mercedes-benz,new
1684,Pune,2014,34200,Petrol,Automatic,First,5,6.5,15.74,1591,121.3,,hyundai,verna
1685,Chennai,2010,72204,Petrol,Manual,First,5,2.25,15.7,1172,67,,fiat,punto
1686,Pune,2011,156347,Diesel,Manual,Second,8,8,12.99,2494,100,,toyota,innova
1687,Kochi,2017,47357,Diesel,Automatic,First,7,8.37,18.49,1493,100,,mahindra,tuv
1688,Coimbatore,2015,61738,Diesel,Manual,First,5,5.39,20.14,1498,88.8,,volkswagen,polo
1689,Kochi,2018,32586,Diesel,Automatic,First,5,37.3,22.48,1995,190,67.87,bmw,5
1690,Coimbatore,2018,40129,Diesel,Automatic,First,5,70.8,11.57,2987,254.79,95.13,mercedes-benz,gle
1691,Mumbai,2012,51000,Diesel,Automatic,First,5,22.25,11.74,2987,254.8,,mercedes-benz,m-class
1692,Kochi,2018,10393,Petrol,Manual,First,5,6.03,18.9,1197,81.86,6.62,hyundai,grand
1693,Mumbai,2011,46000,Petrol,Automatic,First,5,4.9,13.7,1798,157.75,,skoda,superb
1694,Chennai,2013,21000,Petrol,Automatic,First,5,3.96,16.95,1197,78.9,,hyundai,i10
1695,Hyderabad,2011,113562,Diesel,Manual,First,5,4.6,23,1396,90,,hyundai,i20
1696,Mumbai,2011,100010,Diesel,Manual,Second,8,5.5,12.05,2179,120,,mahindra,scorpio
1697,Mumbai,2013,63107,Petrol,Manual,First,5,3.25,19.4,1198,86.8,,honda,brio
1698,Jaipur,2017,58500,Petrol,Manual,First,5,6.25,18.6,1197,81.83,,hyundai,i20
1699,Pune,2007,90000,Diesel,Manual,Fourth & Above,7,3,10.9,2499,143,,ford,endeavour
1700,Chennai,2011,108242,Diesel,Manual,First,5,4.25,16.8,1493,110,,hyundai,verna
1701,Pune,2011,146300,Diesel,Manual,First,7,12.25,11.5,2982,171,,toyota,fortuner
1702,Pune,2011,62943,Diesel,Automatic,Second,5,10.95,17.05,1995,184,,bmw,x1
1703,Delhi,2013,65000,Diesel,Automatic,First,7,16.5,12.55,2982,168.5,,toyota,fortuner
1704,Pune,2018,1700,Petrol,Automatic,First,5,7.8,19,1199,88.76,9.44,honda,amaze
1705,Kochi,2013,34697,Petrol,Manual,First,5,3.7,19.81,1086,68.05,,hyundai,i10
1706,Hyderabad,2012,58000,Petrol,Manual,First,5,4,17,1197,80,,hyundai,i20
1707,Mumbai,2015,32500,Diesel,Automatic,First,5,26.75,19.59,1995,187.74,,bmw,3
1708,Coimbatore,2016,58661,Diesel,Automatic,First,5,28.03,15.17,1968,181,48.64,audi,q3
1709,Kochi,2017,37124,Petrol,Manual,First,5,5.44,20.4,1197,81.8,,maruti,swift
1710,Delhi,2017,44000,Petrol,Automatic,First,5,6.2,21.4,1197,83.1,,maruti,baleno
1711,Kolkata,2005,45200,Petrol,Manual,First,5,0.9,13.2,1495,94,,hyundai,accent
1712,Mumbai,2016,11000,Petrol,Manual,First,5,3.95,18.5,1197,85.8,,maruti,ritz
1713,Pune,2011,65000,Petrol,Manual,Second,4,0.44,26,624,35,,tata,nano
1714,Ahmedabad,2012,55005,Diesel,Manual,First,5,2.75,20,1399,68,,ford,figo
1715,Hyderabad,2011,81650,Diesel,Automatic,First,5,7.5,18.33,1968,167.7,,volkswagen,passat
1716,Chennai,2010,160000,Diesel,Manual,Second,5,2.5,19,1248,93,,fiat,linea
1717,Hyderabad,2015,169000,Diesel,Manual,First,7,5,14.95,2489,93.7,11.69,mahindra,xylo
1718,Hyderabad,2013,67263,Petrol,Manual,First,5,3.6,18.9,998,67.1,,maruti,wagon
1719,Kochi,2012,44223,Petrol,Manual,First,5,3.99,17.6,1496,88.7,,toyota,etios
1720,Coimbatore,2015,36840,Petrol,Manual,First,5,5.64,18.9,1197,82,,hyundai,grand
1721,Pune,2014,160000,Diesel,Manual,First,8,12,12.99,2494,100,,toyota,innova
1722,Kolkata,2008,133000,Diesel,Manual,First,5,0.7,16.8,1405,62,,tata,indica
1723,Mumbai,2015,69123,Diesel,Automatic,First,5,19,18.88,1995,184,,bmw,3
1724,Delhi,2017,38000,Diesel,Automatic,First,7,30.48,10.91,3198,197,,ford,endeavour
1725,Mumbai,2017,5500,Petrol,Manual,First,5,8.2,21.56,1462,103.25,11.11,maruti,ciaz
1726,Kolkata,2015,1001,Diesel,Manual,First,5,7.55,25.83,1498,99,,ford,figo
1727,Pune,2007,59000,Petrol,Manual,Third,5,0.99,15.26,1150,74.9,,chevrolet,aveo
1728,Delhi,2011,78256,Petrol,Automatic,First,5,4.15,16.8,1497,118,,honda,city
1729,Chennai,2016,90000,Petrol,Manual,First,5,6.2,16.95,1498,97.6,,nissan,sunny
1730,Kolkata,2016,18000,Petrol,Manual,First,5,4.4,19.1,1197,85.8,,maruti,swift
1731,Kolkata,2012,60000,Diesel,Manual,First,5,2.1,20,1399,68,,ford,figo
1732,Jaipur,2011,130000,Diesel,Manual,First,5,2.2,20.3,1248,75,,fiat,grande
1733,Coimbatore,2018,32851,Petrol,Manual,First,5,8.34,18.6,1197,81.86,,hyundai,elite
1734,Kolkata,2014,32000,Diesel,Manual,First,5,4.35,23.4,1248,74,,maruti,swift
1735,Hyderabad,2014,62700,Diesel,Manual,First,5,6.8,22.7,1498,89.84,,ford,ecosport
1736,Jaipur,2010,71000,Diesel,Manual,First,5,3.3,19.3,1248,73.9,,maruti,swift
1737,Kochi,2016,19947,Petrol,Manual,First,5,5.04,18.9,1197,82,,hyundai,grand
1738,Hyderabad,2012,91000,Diesel,Automatic,First,7,9.2,11.4,2953,153.86,,ford,endeavour
1739,Hyderabad,2014,74000,Diesel,Manual,First,5,5.7,22.07,1199,73.9,,volkswagen,polo
1740,Kochi,2018,55594,Diesel,Manual,First,7,8.48,18.49,1493,100,,mahindra,tuv
1741,Hyderabad,2013,58000,Diesel,Automatic,First,4,48,11.2,2993,306,,bmw,x6
1742,Hyderabad,2012,110224,Diesel,Manual,First,5,6.1,19.01,1461,108.45,,renault,duster
1743,Ahmedabad,2010,21002,Petrol,Manual,First,5,2.75,22.5,998,67.04,4.74,maruti,wagon
1744,Pune,2017,121000,Diesel,Manual,First,7,8,24.52,1248,88.5,,maruti,ertiga
1745,Jaipur,2010,73513,Petrol,Manual,First,5,1.85,19.7,796,46.3,,maruti,alto
1746,Jaipur,2015,34000,Petrol,Automatic,First,5,3.85,20.51,998,67,,maruti,wagon
1747,Coimbatore,2017,28371,Petrol,Manual,First,7,4.74,15.1,1196,73,4.98,maruti,eeco
1748,Kochi,2013,74755,Diesel,Manual,First,5,5.63,19.6,1461,108.45,,renault,duster
1749,Kochi,2011,25805,Petrol,Manual,First,5,2.62,18.2,1061,64,,maruti,zen
1750,Kochi,2015,82603,Petrol,Manual,First,5,4.9,13.06,1598,102.53,,renault,duster
1751,Chennai,2006,110000,Petrol,Manual,First,5,2.65,13.5,1799,130,,honda,civic
1752,Delhi,2012,88000,Diesel,Manual,First,7,5.99,16,2179,140,,mahindra,xuv500
1753,Chennai,2011,110000,Diesel,Manual,Second,5,2.4,21,1461,64.1,,mahindra,verito
1754,Delhi,2017,15000,Petrol,Manual,First,5,4.25,21.7,999,67,4.98,renault,kwid
1755,Mumbai,2013,70000,Diesel,Automatic,First,5,40,15.15,2967,240,,porsche,cayenne
1756,Pune,2008,150000,Diesel,Manual,Second,5,2.7,28.4,1248,74,,maruti,swift
1757,Hyderabad,2016,19000,Petrol,Manual,First,5,2.99,20.63,1198,67,,datsun,go
1758,Chennai,2011,37442,Petrol,Manual,First,5,3.4,18.5,1197,80,,hyundai,i20
1759,Coimbatore,2016,63111,Diesel,Automatic,Second,5,30.8,18.12,1995,190,,bmw,5
1760,Mumbai,2012,88000,Diesel,Manual,First,7,5.85,20.77,1248,88.8,,maruti,ertiga
1761,Jaipur,2014,42355,Petrol,Manual,First,5,4,18.9,1197,82,,hyundai,grand
1762,Coimbatore,2011,75871,Petrol,Automatic,First,5,14.12,9.43,2996,254,,bmw,3
1763,Mumbai,2011,65000,Diesel,Manual,First,5,4.55,17.9,1998,163.7,,chevrolet,cruze
1764,Pune,2015,69000,Diesel,Automatic,First,5,38,,2987,165,,mercedes-benz,m-class
1765,Jaipur,2011,79232,Diesel,Manual,First,5,2.9,21.1,1248,73.9,,maruti,ritz
1766,Pune,2007,220000,Petrol,Automatic,Second,5,6,11.74,1796,186,,mercedes-benz,new
1767,Kochi,2016,28470,Petrol,Manual,First,5,6.95,18.6,1197,81.83,,hyundai,i20
1768,Kolkata,2014,9759,Petrol,Manual,First,5,2.75,20.3,998,68.05,,hyundai,eon
1769,Pune,2014,75216,Diesel,Manual,First,5,5.1,22.9,1248,74,,maruti,swift
1770,Chennai,2017,8000,Petrol,Manual,First,5,6.75,18.6,1197,81.83,,hyundai,i20
1771,Mumbai,2014,59451,Petrol,Manual,First,5,3.69,18.5,1197,85.8,,maruti,ritz
1772,Hyderabad,2013,53996,Diesel,Manual,First,5,5.45,22.9,1248,74,,maruti,swift
1773,Kochi,2018,15135,Petrol,Manual,First,5,9.29,17.5,1199,88.7,10.57,honda,wrv
1774,Chennai,2015,53000,Petrol,Automatic,Second,5,4,16.9,1197,81.86,,hyundai,xcent
1775,Kolkata,2013,40000,Petrol,Manual,First,5,2.9,18,1198,86.7,,honda,amaze
1776,Pune,2013,21107,Petrol,Manual,First,5,5.25,17.1,1591,121.3,,hyundai,verna
1777,Mumbai,2014,56000,Petrol,Manual,First,5,5.75,16.8,1497,116.3,,honda,city
1778,Coimbatore,2017,19623,Petrol,Manual,First,5,13.12,15.29,1591,121.3,,hyundai,creta
1779,Kochi,2014,70963,Diesel,Manual,First,7,7.83,15.1,2179,140,,mahindra,xuv500
1780,Mumbai,2013,25755,CNG,Manual,First,5,3.15,26.6,998,58.16,,maruti,wagon
1781,Mumbai,2013,51450,Diesel,Manual,First,7,10.4,12.8,2494,102,,toyota,innova
1782,Pune,2012,75000,Diesel,Manual,First,5,4.35,22.9,1248,74,,maruti,swift
1783,Coimbatore,2017,37832,Petrol,Automatic,First,5,5.23,22.5,998,67,6.33,maruti,wagon
1784,Coimbatore,2016,43041,Petrol,Manual,First,5,6.01,18.9,1197,81.86,8.1,hyundai,grand
1785,Hyderabad,2014,97236,Diesel,Manual,First,5,4.4,25.8,1498,98.6,,honda,amaze
1786,Chennai,2010,83000,Diesel,Automatic,First,5,12.75,16.07,1995,181,,bmw,3
1787,Delhi,2011,65000,Petrol,Manual,First,5,2.4,15.6,1196,70,,ford,figo
1788,Kochi,2018,46007,Petrol,Manual,First,5,5.71,17,1198,73.75,,volkswagen,ameo
1789,Kochi,2015,65925,Diesel,Manual,Second,5,5.49,22.7,1498,89.84,,ford,ecosport
1790,Pune,2004,73500,Petrol,Manual,Second,5,1.3,13,1343,90,,honda,city
1791,Kolkata,2014,55000,Diesel,Manual,First,7,8.5,16,2179,140,,mahindra,xuv500
1792,Delhi,2012,115000,Diesel,Manual,First,7,12.99,13,2982,168.5,,toyota,fortuner
1793,Kolkata,2017,31184,Petrol,Manual,First,5,5,18.9,1197,81.86,6.4,hyundai,grand
1794,Pune,2017,41747,Diesel,Automatic,First,5,9,28.4,1248,73.75,11.26,maruti,dzire
1795,Kochi,2016,38143,Diesel,Manual,First,5,5.22,22.9,1248,74,,maruti,swift
1796,Pune,2012,19030,Petrol,Manual,First,5,3.8,16.47,1198,73.9,,volkswagen,polo
1797,Coimbatore,2019,20877,Petrol,Manual,First,5,7.27,18.16,1197,78.9,7.59,toyota,etios
1798,Mumbai,2016,23555,Petrol,Manual,First,5,5.1,22,1197,81.8,7,maruti,swift
1799,Bangalore,2013,29000,Diesel,Automatic,First,5,29,14.21,2143,203,,mercedes-benz,e-class
1800,Pune,2013,61000,Petrol,Manual,First,5,2.9,18.9,998,67.1,,maruti,wagon
1801,Kochi,2012,4187,Petrol,Manual,First,4,1.38,26,624,35,,tata,nano
1802,Bangalore,2011,46000,Petrol,Manual,First,5,5.5,13.4,1798,157.8,,skoda,laura
1803,Mumbai,2016,28000,Petrol,Automatic,First,5,7.25,17.21,1197,103.5,11.26,volkswagen,polo
1804,Coimbatore,2014,83558,Diesel,Manual,First,5,6.98,22.32,1582,126.32,,hyundai,verna
1805,Hyderabad,2017,40000,Diesel,Manual,First,5,5.25,22.95,1248,74,7.43,tata,bolt
1806,Kolkata,2013,36000,Petrol,Manual,First,5,1.95,21.1,814,55.2,,hyundai,eon
1807,Bangalore,2014,21000,Diesel,Automatic,First,5,24.5,17.11,1968,174.33,,audi,a4
1808,Kochi,2013,62162,Diesel,Manual,First,7,8.31,12.99,2494,100,,toyota,innova
1809,Hyderabad,2012,83000,Diesel,Automatic,First,5,36,11.74,2987,254.8,,mercedes-benz,m-class
1810,Pune,2015,58000,Diesel,Manual,First,5,5.5,24.4,1120,71,,hyundai,xcent
1811,Kochi,2011,62332,Petrol,Automatic,First,5,5.89,11.7,2354,177.6,,honda,accord
1812,Kochi,2016,50867,Diesel,Manual,First,5,7.95,20.34,1498,103.2,,volkswagen,vento
1813,Mumbai,2010,73000,Petrol,Manual,First,5,2.75,17,1197,80,,hyundai,i20
1814,Jaipur,2012,98008,Diesel,Manual,First,5,6.25,22.7,1582,126.24,,hyundai,elantra
1815,Hyderabad,2015,36000,Diesel,Manual,First,5,4.95,20,1399,68.05,,ford,figo
1816,Kochi,2019,27339,Petrol,Manual,First,5,6.27,18.6,1197,81.83,,hyundai,i20
1817,Kolkata,2017,25000,Diesel,Manual,First,5,8.65,23.9,1582,126.2,,hyundai,verna
1818,Kolkata,2014,37000,Petrol,Manual,First,5,3.5,18.9,1197,82,,hyundai,grand
1819,Hyderabad,2015,56000,Diesel,Automatic,First,5,35,14.16,1968,174.3,,audi,q5
1820,Kolkata,2015,27000,Petrol,Manual,First,5,4.45,17.5,1298,85.8,,maruti,swift
1821,Kolkata,2012,37000,Petrol,Manual,First,5,2.65,18.5,1197,80,,hyundai,i20
1822,Kolkata,2017,10500,Diesel,Manual,First,5,4.7,25.32,1198,77,,mahindra,kuv
1823,Ahmedabad,2014,49000,Diesel,Automatic,First,5,8.9,18.23,1582,126.2,22.43,hyundai,elantra
1824,Mumbai,2017,7000,Diesel,Manual,First,5,17.45,17.1,1956,170,24.02,jeep,compass
1825,Coimbatore,2017,71256,Diesel,Manual,First,5,9.58,24.3,1248,88.5,,maruti,vitara
1826,Kochi,2012,83184,Petrol,Manual,First,5,6.22,14.28,1798,138.03,21.69,toyota,corolla
1827,Kolkata,2013,87284,Diesel,Manual,First,7,7.8,15.1,2179,140,,mahindra,xuv500
1828,Mumbai,2016,7000,Diesel,Automatic,First,5,27.75,20.68,1995,190,,bmw,x1
1829,Pune,2015,29000,Diesel,Manual,Second,5,7,22.54,1396,88.73,,hyundai,i20
1830,Coimbatore,2017,33552,Diesel,Automatic,First,5,64.87,11.57,2987,254.79,95.13,mercedes-benz,gle
1831,Bangalore,2013,64000,Diesel,Manual,Second,5,6.5,17.3,1998,163.7,,chevrolet,cruze
1832,Jaipur,2011,82000,Petrol,Manual,Second,5,2.7,18.5,1197,80,,hyundai,i20
1833,Mumbai,2012,70000,Petrol,Manual,Second,5,2.5,19.4,1198,86.8,,honda,brio
1834,Hyderabad,2013,166194,Diesel,Manual,First,7,3.9,19.3,1461,84.8,,nissan,evalia
1835,Delhi,2015,58000,Petrol,Manual,First,5,3.95,16.47,1198,73.9,,volkswagen,polo
1836,Chennai,2010,77000,Petrol,Manual,Second,5,2.1,20.36,1197,78.9,,hyundai,i10
1837,Pune,2009,73204,Diesel,Automatic,Third,4,3.5,18.1,1991,147.9,,chevrolet,cruze
1838,Hyderabad,2007,70000,Petrol,Manual,Second,5,2,19.81,1086,68.05,,hyundai,i10
1839,Delhi,2014,79870,Diesel,Manual,First,7,5.35,20.77,1248,88.76,,maruti,ertiga
1840,Delhi,2013,90000,Diesel,Manual,First,5,3.8,25.8,1498,98.6,,honda,amaze
1841,Mumbai,2016,17000,Petrol,Automatic,First,5,17.25,15.5,1595,122,34.63,mercedes-benz,a
1842,Kochi,2018,46493,Petrol,Manual,First,5,5.53,18.9,1197,81.86,6.32,hyundai,grand
1843,Pune,2009,68000,Petrol,Manual,Third,5,1.95,20.36,1197,78.9,,hyundai,i10
1844,Hyderabad,2017,2000,Diesel,Manual,First,5,8.2,28.4,1248,74,,maruti,swift
1845,Pune,1999,140000,Petrol,Manual,First,5,0.9,13,1343,90,,honda,city
1846,Pune,2013,255000,Diesel,Manual,Third,7,6.5,12.99,2494,100.6,,toyota,innova
1847,Coimbatore,2014,45535,Diesel,Automatic,First,5,19.41,23.8,1998,112,,mini,cooper
1848,Coimbatore,2016,39228,Petrol,Manual,First,5,6.58,15.7,1368,112.4,,fiat,linea
1849,Mumbai,2011,57000,Petrol,Manual,Second,5,2.1,14.49,1399,92.7,,chevrolet,aveo
1850,Chennai,2008,85445,Petrol,Manual,Second,5,2,19.81,1086,68.05,,hyundai,i10
1851,Delhi,2015,54000,Diesel,Manual,First,5,3.7,24.4,1120,71,,hyundai,xcent
1852,Mumbai,2014,53000,Petrol,Automatic,First,5,3.8,23.1,998,67.04,,maruti,celerio
1853,Jaipur,2014,60000,Petrol,Manual,First,5,3.25,20.36,1197,78.9,,hyundai,i10
1854,Coimbatore,2015,65668,Diesel,Manual,First,5,5.53,19.87,1461,83.8,,renault,duster
1855,Ahmedabad,2011,100000,Diesel,Automatic,Second,5,10.9,22.69,1995,190,43.31,bmw,3
1856,Kolkata,2018,1800,Petrol,Manual,First,5,5.1,18.9,1197,82,,hyundai,grand
1857,Hyderabad,2007,96000,Petrol,Manual,Second,5,2.2,,999,,,hyundai,santro
1858,Pune,2009,44200,Petrol,Manual,Second,5,1.6,18,995,62,,chevrolet,spark
1859,Ahmedabad,2018,14000,Petrol,Manual,First,5,11.25,17.4,1497,117.3,,honda,city
1860,Chennai,2013,720000,Diesel,Manual,First,5,5.9,20.54,1598,103.6,,volkswagen,vento
1861,Delhi,2012,73000,Diesel,Automatic,First,7,14.4,11.5,2982,169,,toyota,fortuner
1862,Delhi,2011,68000,Petrol,Manual,First,5,3.6,17,1497,118,,honda,city
1863,Jaipur,2017,19543,Diesel,Automatic,First,5,40.5,18.12,1995,190,,bmw,5
1864,Bangalore,2014,38000,Diesel,Automatic,Second,5,38.95,14.16,1968,174.3,,audi,q5
1865,Delhi,2014,32805,Diesel,Manual,First,5,3.6,23.2,1248,73.94,,maruti,ritz
1866,Kochi,2016,44782,Diesel,Automatic,First,5,7.12,21.21,1498,103.2,,volkswagen,vento
1867,Kochi,2016,55700,Diesel,Manual,First,5,7.52,26,1498,98.6,,honda,city
1868,Delhi,2012,60000,Diesel,Automatic,Second,5,10.35,15.2,1968,140.8,,audi,a4
1869,Hyderabad,2014,56000,Petrol,Manual,First,5,7,15,1598,103.52,,skoda,rapid
1870,Delhi,2011,60000,Diesel,Manual,First,7,10.85,11.5,2982,171,,toyota,fortuner
1871,Mumbai,2010,78563,Diesel,Manual,First,5,2.35,16.52,1991,123.7,,chevrolet,optra
1872,Mumbai,2014,34669,Petrol,Manual,First,7,2.9,15.1,1196,73,4.71,maruti,eeco
1873,Delhi,2017,17000,Petrol,Manual,First,5,7.65,20.73,1373,91.1,,maruti,ciaz
1874,Delhi,2016,66000,Diesel,Manual,First,5,6.4,28.09,1248,88.5,,maruti,ciaz
1875,Pune,2014,102418,Diesel,Manual,First,7,10.1,12.99,2494,100.6,,toyota,innova
1876,Kolkata,2014,48800,Petrol,Manual,First,5,4.25,19.1,1197,85.8,,maruti,swift
1877,Kochi,2019,10601,Diesel,Automatic,First,7,19.65,11.36,2755,171.5,20.74,toyota,innova
1878,Pune,2017,8200,Diesel,Manual,First,5,4.4,25,1396,69,,tata,indica
1879,Jaipur,2012,100000,Petrol,Manual,First,5,3.25,18.5,1197,82.85,,hyundai,i20
1880,Pune,2012,78000,Diesel,Manual,First,5,2.8,17.8,1399,68,,ford,fiesta
1881,Kolkata,2015,50000,Diesel,Manual,First,8,4.3,18.2,1248,73.74,,chevrolet,enjoy
1882,Chennai,2006,89327,Diesel,Manual,Third,5,1.55,17.8,1399,68,,ford,fiesta
1883,Chennai,2007,98000,Petrol,Manual,Second,5,4.7,10.8,2354,152,,honda,cr-v
1884,Kochi,2017,24700,Petrol,Manual,First,5,7.07,18.7,1199,88.7,,honda,jazz
1885,Delhi,2018,6000,Diesel,Automatic,First,7,79,11,2987,258,102,mercedes-benz,gls
1886,Delhi,2018,9434,Petrol,Manual,First,5,5.75,18.9,1197,81.86,6.71,hyundai,grand
1887,Mumbai,2012,29000,Petrol,Manual,First,5,3.25,18.5,1197,85.8,,maruti,ritz
1888,Coimbatore,2017,22440,Diesel,Automatic,First,5,8.89,22,1498,108.495,,volkswagen,ameo
1889,Mumbai,2015,73070,Petrol,Manual,First,5,5.9,17.4,1497,117.3,,honda,city
1890,Kolkata,2016,21771,Petrol,Manual,First,5,4.95,18.7,1199,88.7,,honda,jazz
1891,Delhi,2014,62000,Diesel,Manual,First,5,3.75,17.8,1248,75,,maruti,swift
1892,Kochi,2017,37024,Diesel,Automatic,First,5,10.97,17.01,1582,126.2,,hyundai,creta
1893,Kochi,2014,60336,Diesel,Automatic,Second,5,24.94,14.4,2967,241.4,,audi,a7
1894,Kolkata,2014,26008,Petrol,Manual,First,5,1.97,21.1,814,55.2,,hyundai,eon
1895,Jaipur,2010,90000,Diesel,Manual,Second,5,1.4,20,1399,68,,ford,figo
1896,Coimbatore,2018,35569,Petrol,Manual,First,5,7.27,17,1198,73.75,8.68,volkswagen,ameo
1897,Kolkata,2013,40000,Diesel,Manual,First,5,4,21.64,1461,84.8,,renault,scala
1898,Kolkata,2015,45000,Petrol,Manual,First,5,4.75,18.7,1199,88.7,,honda,jazz
1899,Delhi,2015,42000,Petrol,Manual,First,5,5.1,17,1197,80,,hyundai,i20
1900,Coimbatore,2012,46913,Diesel,Automatic,First,5,16.11,14.94,2967,241.4,,audi,a4
1901,Delhi,2014,62000,Diesel,Automatic,First,7,10.55,11.18,2696,184,,mahindra,ssangyong
1902,Ahmedabad,2017,15000,Diesel,Automatic,First,7,30,12.9,2755,174.5,34.45,toyota,fortuner
1903,Kolkata,2002,69000,Diesel,Manual,First,5,1.6,18.7,1896,66,,skoda,octavia
1904,Hyderabad,2012,41367,Diesel,Automatic,First,5,18.49,15.8,2148,170,,mercedes-benz,new
1905,Kochi,2018,15982,Petrol,Manual,First,5,9.96,20.73,1373,91.1,,maruti,ciaz
1906,Hyderabad,2013,99595,Diesel,Manual,Second,5,4.75,22.9,1248,74,,maruti,swift
1907,Bangalore,2002,63000,Diesel,Manual,Third,10,3.65,13.1,2446,75,,toyota,qualis
1908,Delhi,2012,49000,Diesel,Automatic,Second,5,15.5,16.73,2495,218,,bmw,5
1909,Kochi,2013,48272,Diesel,Manual,First,6,11.82,10.5,2835,116.9,,mitsubishi,pajero
1910,Delhi,2008,63000,Petrol,Manual,First,5,2.05,13.4,1794,125,,toyota,corolla
1911,Ahmedabad,2016,77000,CNG,Manual,First,5,3.3,26.6,998,58.16,,maruti,wagon
1912,Mumbai,2013,11734,Petrol,Manual,First,8,2.25,16.8,796,34.2,,maruti,omni
1913,Kochi,2014,62012,Diesel,Automatic,First,5,20.12,17.68,1968,174.33,,audi,a6
1914,Chennai,2017,46000,CNG,Manual,First,5,4.95,25,1197,81.86,,hyundai,xcent
1915,Coimbatore,2016,45449,Diesel,Manual,First,5,7.48,27.3,1498,98.6,,honda,jazz
1916,Mumbai,2004,85000,Petrol,Automatic,Second,5,5.5,10.5,1796,157.7,,mercedes-benz,e-class
1917,Jaipur,2005,88000,Petrol,Manual,Second,,1.7,13,1493,100,,honda,city
1918,Kochi,2013,45330,Diesel,Automatic,First,5,13.19,16.55,1968,147.51,,audi,a4
1919,Mumbai,2012,88000,Petrol,Manual,First,5,3.85,19.1,1197,85.8,,maruti,swift
1920,Delhi,2016,45376,Diesel,Manual,First,5,5.75,28.4,1248,73.75,8.58,maruti,dzire
1921,Pune,2014,81000,Diesel,Manual,First,7,9,15.1,2179,140,,mahindra,xuv500
1922,Kochi,2012,83381,Petrol,Manual,First,5,2.21,18.6,1199,79.4,,chevrolet,beat
1923,Kochi,2017,78526,Diesel,Manual,First,5,8.09,23,1498,98.96,12.67,ford,ecosport
1924,Coimbatore,2017,27313,Diesel,Automatic,First,5,48.63,14.69,2993,258,,bmw,5
1925,Coimbatore,2015,42747,Diesel,Automatic,Second,5,39.47,14.16,1968,174.3,,audi,q5
1926,Coimbatore,2015,42265,Diesel,Automatic,Second,5,22.24,20.68,1995,190,48.18,bmw,x1
1927,Mumbai,2009,21000,Petrol,Automatic,First,5,2.6,19.2,1197,80,,hyundai,i10
1928,Ahmedabad,2016,55100,Diesel,Automatic,First,5,12,17.01,1582,126.2,,hyundai,creta
1929,Chennai,2014,70000,Diesel,Automatic,First,5,18,17.11,1968,174.33,,audi,a4
1930,Mumbai,2007,55000,Petrol,Automatic,Third,5,9.99,10.13,3498,364.9,,mercedes-benz,s
1931,Kolkata,2012,58235,Petrol,Manual,First,5,2.45,20.36,1197,78.9,,hyundai,i10
1932,Mumbai,2017,26000,Diesel,Manual,First,5,8.99,23,1498,98.96,11.89,ford,ecosport
1933,Kolkata,2011,35000,Diesel,Manual,First,5,3.15,20.54,1598,103.6,,volkswagen,vento
1934,Jaipur,2017,24000,Diesel,Manual,First,5,8.2,28.4,1248,73.75,10.48,maruti,dzire
1935,Ahmedabad,2016,98000,Diesel,Manual,First,7,11.5,15.4,1997,120,,mahindra,scorpio
1936,Coimbatore,2016,44487,Diesel,Manual,First,5,7.3,22.54,1396,88.73,,hyundai,i20
1937,Chennai,2008,65000,Petrol,Manual,First,5,1.59,19.7,796,46.3,,maruti,alto
1938,Delhi,2015,34951,Petrol,Manual,Second,5,3.15,20.36,1197,78.9,,hyundai,i10
1939,Kolkata,2015,52373,Diesel,Manual,Second,7,8.5,15.4,2179,120,,mahindra,scorpio
1940,Hyderabad,2010,66285,Diesel,Manual,First,5,3,19.5,1199,75,,skoda,fabia
